unique_id,ds,forecast,lower,upper,model,label,forecast_label
ZONA,2024-11-02 00:00:00,1800.517800565871,1773.3704623536762,1827.665138778066,LinearRegression,model4,2024-11-01
ZONA,2024-11-02 01:00:00,1780.5180835427157,1755.1184614882377,1805.9177055971936,LinearRegression,model4,2024-11-01
ZONA,2024-11-02 02:00:00,1730.5068915232632,1693.8877826409214,1767.126000405605,LinearRegression,model4,2024-11-01
ZONA,2024-11-02 03:00:00,1654.7358302549685,1603.9235353809265,1705.5481251290105,LinearRegression,model4,2024-11-01
ZONA,2024-11-02 04:00:00,1584.9708637502977,1525.4609120298428,1644.4808154707525,LinearRegression,model4,2024-11-01
ZONA,2024-11-02 05:00:00,1525.9659106867446,1456.1828503187191,1595.74897105477,LinearRegression,model4,2024-11-01
ZONA,2024-11-02 06:00:00,1476.4784068292424,1405.0116680784008,1547.945145580084,LinearRegression,model4,2024-11-01
ZONA,2024-11-02 07:00:00,1447.0144869963324,1381.9366979035979,1512.092276089067,LinearRegression,model4,2024-11-01
ZONA,2024-11-02 08:00:00,1440.470086812012,1376.3634214344702,1504.5767521895536,LinearRegression,model4,2024-11-01
ZONA,2024-11-02 09:00:00,1444.5006873888851,1377.8258236132153,1511.175551164555,LinearRegression,model4,2024-11-01
ZONA,2024-11-02 10:00:00,1477.0962733051292,1410.6160902619663,1543.5764563482921,LinearRegression,model4,2024-11-01
ZONA,2024-11-02 11:00:00,1538.3728728922558,1455.8060075247724,1620.9397382597392,LinearRegression,model4,2024-11-01
ZONA,2024-11-02 12:00:00,1600.5665991741648,1475.2608582003436,1725.872340147986,LinearRegression,model4,2024-11-01
ZONA,2024-11-02 13:00:00,1648.9442846152804,1520.1779561471667,1777.710613083394,LinearRegression,model4,2024-11-01
ZONA,2024-11-02 14:00:00,1688.4020113336267,1572.7048978504054,1804.099124816848,LinearRegression,model4,2024-11-01
ZONA,2024-11-02 15:00:00,1701.4018073072502,1559.738878470865,1843.0647361436354,LinearRegression,model4,2024-11-01
ZONA,2024-11-02 16:00:00,1689.5945013469416,1531.405104461675,1847.7838982322082,LinearRegression,model4,2024-11-01
ZONA,2024-11-02 17:00:00,1693.4150971159345,1527.3113508350675,1859.5188433968015,LinearRegression,model4,2024-11-01
ZONA,2024-11-02 18:00:00,1702.9890769618894,1591.445917856616,1814.5322360671628,LinearRegression,model4,2024-11-01
ZONA,2024-11-02 19:00:00,1705.5498454107312,1628.2485257837873,1782.8511650376752,LinearRegression,model4,2024-11-01
ZONA,2024-11-02 20:00:00,1707.3398881932917,1651.6608481432816,1763.0189282433018,LinearRegression,model4,2024-11-01
ZONA,2024-11-02 21:00:00,1713.6698427993956,1643.66967624985,1783.6700093489412,LinearRegression,model4,2024-11-01
ZONA,2024-11-02 22:00:00,1730.7320903028742,1673.0078742643293,1788.4563063414191,LinearRegression,model4,2024-11-01
ZONA,2024-11-02 23:00:00,1749.8207776613372,1716.7024333849138,1782.9391219377605,LinearRegression,model4,2024-11-01
ZONB,2024-11-02 00:00:00,1095.561556176482,1077.7709351046988,1113.3521772482654,LinearRegression,model4,2024-11-01
ZONB,2024-11-02 01:00:00,1081.5567178813167,1048.4480679953358,1114.6653677672975,LinearRegression,model4,2024-11-01
ZONB,2024-11-02 02:00:00,1043.0725546714052,980.093279419841,1106.0518299229693,LinearRegression,model4,2024-11-01
ZONB,2024-11-02 03:00:00,985.3693957195233,911.1796296764973,1059.5591617625491,LinearRegression,model4,2024-11-01
ZONB,2024-11-02 04:00:00,930.9934369972477,857.2793619145821,1004.7075120799134,LinearRegression,model4,2024-11-01
ZONB,2024-11-02 05:00:00,889.6164729602687,815.6458926565808,963.5870532639565,LinearRegression,model4,2024-11-01
ZONB,2024-11-02 06:00:00,857.7688800554243,797.017664508851,918.5200956019977,LinearRegression,model4,2024-11-01
ZONB,2024-11-02 07:00:00,833.5386562462971,782.6603921121555,884.4169203804388,LinearRegression,model4,2024-11-01
ZONB,2024-11-02 08:00:00,828.3232190628506,788.4272166482203,868.2192214774809,LinearRegression,model4,2024-11-01
ZONB,2024-11-02 09:00:00,842.9970118878498,804.6664675701721,881.3275562055276,LinearRegression,model4,2024-11-01
ZONB,2024-11-02 10:00:00,874.6659237686958,836.5177458983148,912.8141016390769,LinearRegression,model4,2024-11-01
ZONB,2024-11-02 11:00:00,916.8201433611091,845.7077604519375,987.9325262702807,LinearRegression,model4,2024-11-01
ZONB,2024-11-02 12:00:00,955.6619347644397,849.2056291507427,1062.1182403781368,LinearRegression,model4,2024-11-01
ZONB,2024-11-02 13:00:00,984.8606610320684,868.6290349097678,1101.092287154369,LinearRegression,model4,2024-11-01
ZONB,2024-11-02 14:00:00,1004.412636753904,895.45024742981,1113.375026077998,LinearRegression,model4,2024-11-01
ZONB,2024-11-02 15:00:00,1011.2757073559642,861.9207732290846,1160.6306414828439,LinearRegression,model4,2024-11-01
ZONB,2024-11-02 16:00:00,991.9809862874372,818.484524221605,1165.4774483532692,LinearRegression,model4,2024-11-01
ZONB,2024-11-02 17:00:00,971.7626772672909,775.573721613735,1167.9516329208468,LinearRegression,model4,2024-11-01
ZONB,2024-11-02 18:00:00,976.6031502866384,787.4618826792157,1165.7444178940611,LinearRegression,model4,2024-11-01
ZONB,2024-11-02 19:00:00,993.7039266643268,817.7084259525677,1169.6994273760859,LinearRegression,model4,2024-11-01
ZONB,2024-11-02 20:00:00,1012.1620725692153,856.998356326233,1167.3257888121977,LinearRegression,model4,2024-11-01
